from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,link
5569,430,8,0.04878048780487805,2.0055296869233223,7200,1
3530,6222,0,0.0,0.0,9,0
4191,94,6,0.06521739130434782,1.2672666213883563,1776,1
319,3661,0,0.0,0.0,36,0
1482,6789,0,0.0,0.0,198,0
2158,5374,0,0.0,0.0,7,0
13,3715,0,0.0,0.0,132,0
518,3819,0,0.0,0.0,31,0
5248,7123,0,0.0,0.0,3,0
1926,6801,0,0.0,0.0,14,0
36,567,1,0.05555555555555555,0.17054278655205474,78,1
1836,5774,0,0.0,0.0,32,0
4198,5089,0,0.0,0.0,22,0
2117,6166,2,0.05128205128205128,0.37622771594550264,378,1
73,4789,4,0.13793103448275862,1.5693360477780105,162,1
2466,6711,0,0.0,0.0,150,1
1178,2351,0,0.0,0.0,10,0
6342,7015,0,0.0,0.0,8,0
3534,5913,0,0.0,0.0,18,0
2507,3224,0,0.0,0.0,22,0
1103,399,2,0.006493506493506494,0.7849833730515675,14224,1
3285,5950,0,0.0,0.0,915,1
5130,6432,0,0.0,0.0,27,1
2386,3959,0,0.0,0.0,16,0
2487,6064,0,0.0,0.0,88,0
3621,4709,2,0.0273972602739726,0.37622771594550264,1250,1
2732,6432,0,0.0,0.0,834,1
4462,5069,0,0.0,0.0,147,0
3230,7118,0,0.0,0.0,14,0
3043,3695,0,0.0,0.0,16,0
6404,3533,3,0.0625,0.5032419414175573,560,1
2218,923,0,0.0,0.0,175,1
1059,1939,0,0.0,0.0,363,0
961,2931,0,0.0,0.0,81,0
542,4205,0,0.0,0.0,22,0
2799,1404,2,0.037037037037037035,0.704529225695405,588,1
2690,6850,0,0.0,0.0,36,0
3664,6613,0,0.0,0.0,8,0
1142,3568,2,0.038461538461538464,0.3872218518875864,288,1
5951,6620,0,0.0,0.0,8,0
2569,6715,0,0.0,0.0,2,0
2275,1901,0,0.0,0.0,342,1
492,5559,0,0.0,0.0,14,1
