from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
1391,5347,0,0.0,0.0,50,4690,0.2519936204146328,804,1,0,1,0,0.18010843594499357
2590,5042,0,0.0,0.0,84,1510,0.7560975609754875,295,1,1,1,0,0.21584732472111362
2809,1623,1,0.0666666666666666,0.1844836349427226,48,2862,0.7298980747451179,257,1,1,1,0,0.3795286314471652
2354,3044,0,0.0,0.0,54,968,0.2519319938174251,196,1,1,1,0,0.23833237024424217
5897,2667,0,0.0,0.0,9,7681,0.6844159579275778,793,1,0,1,0,0.15223095179631546
1621,2656,0,0.0,0.0,36,22449,0.1027219313321834,33,1,1,1,0,0.25037983608174336
5337,6815,0,0.0,0.0,675,4618,0.6153269471053214,848,1,1,1,0,0.416129378508744
4113,820,1,0.0344827586206896,0.1705427865520547,216,24639,0.4156250741171071,897,1,1,1,0,0.4174574183582486
3988,6642,0,0.0,0.0,56,31754,0.0793006465829661,1396,1,1,1,0,0.18265374209704915
358,2798,0,0.0,0.0,105,239660,0.0058736663956594,1798,1,0,1,0,0.15958524120025622
351,6985,0,0.0,0.0,55,7652,0.0477849676455888,179,1,1,1,0,0.25103191845730194
2126,6157,0,0.0,0.0,36,4905,0.2700892857142455,1467,1,1,1,0,0.16571928890452395
2779,4466,0,0.0,0.0,680,1100455,0.1377927060783202,696,1,1,1,0,0.47090511857469297
4557,5466,0,0.0,0.0,217,9826,0.4486280231187672,736,1,1,1,0,0.25035940696596287
2894,5387,0,0.0,0.0,640,4098,0.7352884180608013,467,1,1,1,0,0.4220050490981767
5580,3851,0,0.0,0.0,188,506016,0.0003081956331049,1549,0,0,1,0,0.43018357063385865
2455,4924,0,0.0,0.0,4,2334,0.1915483200553545,499,1,1,1,0,0.20832105728830988
3262,6883,0,0.0,0.0,216,19539,0.2401415571284031,162,1,1,1,0,0.29984097013225547
559,6855,0,0.0,0.0,30,104455,0.1692844815931146,1138,1,0,1,0,0.1631244798380218
3757,2715,0,0.0,0.0,66,1809,0.7083198968073672,144,1,1,1,0,0.2210604636873538
4634,3813,0,0.0,0.0,180,2778,0.7874033825667109,216,1,0,1,0,0.22374157288369484
331,2399,0,0.0,0.0,56,30580,0.0396030275431035,1006,1,1,1,0,0.20440501408978018
5402,3386,0,0.0,0.0,114,353530,0.0096727295137303,1761,0,0,1,0,0.3792930138325756
5540,1614,0,0.0,0.0,12,19481,0.134254732912624,1441,1,0,1,0,0.14697150157170547
4819,2849,0,0.0,0.0,368,1170,0.7929203539821604,1361,1,0,1,0,0.21864710508798785
6368,5350,0,0.0,0.0,255,22036,0.1526244952893615,151,1,0,1,0,0.29033606554654595
4641,2622,0,0.0,0.0,40,920,0.8723463299568651,496,1,0,1,0,0.1652988253025257
5969,2509,0,0.0,0.0,108,2800229,0.0019830400888447,875,0,0,1,0,0.4584399085558242
3338,5647,1,0.0476190476190476,0.1900168856810646,85,139755,0.1340273259596608,360,1,0,1,0,0.42033216798793455
749,3771,1,0.05,0.152948702070391,110,22052,0.3963978759511579,1058,1,1,1,0,0.31513758045772405
559,2792,0,0.0,0.0,90,10702,0.4972282251244716,1491,1,0,1,0,0.14930985024881413
6873,5177,0,0.0,0.0,51,5321,0.1110925492816386,558,1,1,1,0,0.22382381576136526
6001,5714,0,0.0,0.0,516,85217,0.2966340915844011,1587,1,1,1,0,0.3150268542048649
2654,6325,0,0.0,0.0,295,10243,0.0570744729816756,1726,1,0,1,0,0.21301004671360788
5434,5035,0,0.0,0.0,24,456,0.890226287915048,979,1,1,1,0,0.15912907277293065
1367,1715,0,0.0,0.0,60,238440,0.0298246327867517,1375,0,0,1,0,0.3836701967454554
2026,3060,0,0.0,0.0,412,721597,0.3162168897783662,53,1,0,1,0,0.3524348791705055
2124,902,0,0.0,0.0,8,2065,0.0100671140939549,452,1,0,1,0,0.1969559652546082
5768,3256,0,0.0,0.0,48,311403,0.000651463707374,1227,0,0,1,0,0.39230683576865105
1414,6342,0,0.0,0.0,113,2487644,0.0003516147556036,2576,0,0,1,0,0.3275714403263142
3302,6424,0,0.0,0.0,806,4070,0.801627918311605,662,1,1,1,0,0.4769986059586153
65,3612,0,0.0,0.0,88,30643,0.055889330498812,955,1,1,1,0,0.21616424322940545
5328,4546,0,0.0,0.0,165,2328334,0.0005464440997988,1149,0,0,1,0,0.4602454760305637
6147,6883,0,0.0,0.0,468,22375,0.1298514427938037,1273,1,0,1,0,0.2970938757955689
758,4716,0,0.0,0.0,9,843,0.5618503118500199,1693,1,0,1,0,0.12184593163166936
1144,5365,0,0.0,0.0,247,5756,0.590203616687983,88,1,1,1,0,0.2948673192392745
4716,4099,0,0.0,0.0,12,1372,0.4406848756622745,726,1,0,1,0,0.16564600268298005
5404,3615,0,0.0,0.0,462,33725,0.0311970354198376,1094,1,1,1,0,0.3460645355431189
858,7014,0,0.0,0.0,64,112625,0.0612940597937967,103,1,1,1,0,0.2585002546515469
3079,5601,0,0.0,0.0,12,2731,0.378470641784165,370,1,1,1,0,0.20847527742991856
5519,2256,0,0.0,0.0,19,2802,0.0952534711010348,1947,1,0,1,0,0.13012927749491807
5296,1970,0,0.0,0.0,120,4512372,0.0082402463018674,858,0,0,1,0,0.4726624015771641
4008,2599,0,0.0,0.0,390,10686,0.5232231294337873,662,1,1,1,0,0.31523605328896953
3700,2618,0,0.0,0.0,85,59551,0.1923755017901677,812,1,0,1,0,0.19235179939047997
681,5639,0,0.0,0.0,190,453112,0.0062047501760096,324,1,0,1,0,0.26532831186911393
2722,2908,0,0.0,0.0,60,802209,0.001568199893213,151,0,0,1,0,0.4863223948424752
6474,5176,0,0.0,0.0,43,472823,0.0026935245728749,1262,0,0,1,0,0.38794554198986214
502,5490,0,0.0,0.0,190,381417,0.1774860314715094,533,0,0,1,0,0.49990451616397047
6868,3028,0,0.0,0.0,8,9041,0.0358323557640998,176,1,0,1,0,0.21036601098173272
3022,363,0,0.0,0.0,198,63888,0.4988704819277069,305,1,0,1,0,0.24006916238545373
100,6071,0,0.0,0.0,48,7011,0.2194388777554865,381,1,1,1,0,0.22730539034511657
4219,3838,0,0.0,0.0,330,21961,0.3170693783623995,277,1,1,1,0,0.33215824522128634
3450,6900,1,0.0769230769230769,0.2316161558997167,45,983,0.7356816348478796,739,1,1,1,0,0.4349445615650209
4457,6193,0,0.0,0.0,85,23106,0.1828405715094008,446,1,0,1,0,0.212009104422149
2026,5081,0,0.0,0.0,206,1054722,0.0005486586291494,1411,0,1,1,0,0.48868476939207556
6047,777,0,0.0,0.0,33,19219,0.1508792082707364,452,1,1,1,0,0.22205865061844174
1010,3454,0,0.0,0.0,506,1724,0.6113615870151913,1316,1,0,1,0,0.2789085233872764
1914,6975,0,0.0,0.0,12,458,0.9601496563124544,1021,1,0,1,0,0.13364969826032055
2935,3436,0,0.0,0.0,546,12892,0.0401310401310371,2202,1,0,1,0,0.2700139304408948
6838,5141,0,0.0,0.0,196,117377,0.0867024587612816,86,1,1,1,0,0.3074032738974212
3966,2051,0,0.0,0.0,6,98570,0.0028325746079918,1493,1,1,1,0,0.16822207379537224
745,5921,0,0.0,0.0,168,36351,0.0411237140596138,234,1,0,1,0,0.25967028612484494
5530,4414,0,0.0,0.0,150,3168,0.4672944341684097,258,1,0,1,0,0.22844745817600887
3995,5757,0,0.0,0.0,390,18788,0.5084249084248952,1197,1,1,1,0,0.27964655906804237
5389,6238,0,0.0,0.0,612,19309903,0.0036943981546119,723,1,0,1,0,0.4938276858077176
5730,4466,0,0.0,0.0,328,36255,0.8290850119977522,1496,1,0,1,0,0.19754442284007354
3525,5395,0,0.0,0.0,8,5812,0.1549869148007916,157,1,1,1,0,0.23062695790811602
1317,4153,0,0.0,0.0,10,2535,0.6164901664144301,1659,1,1,1,0,0.13812679920440277
4356,2163,0,0.0,0.0,140,21636,0.1309796361007297,322,1,0,1,0,0.23951784469956966
4242,5601,0,0.0,0.0,172,6590,0.2015024839452076,228,1,0,1,0,0.2521901877147084
2591,5689,0,0.0,0.0,108,38786,0.2802078500510294,202,1,1,1,0,0.2550239277300276
148,4554,0,0.0,0.0,4,2800,0.0816661200393303,128,1,1,1,0,0.23491942006954894
3863,1386,0,0.0,0.0,52,39995,0.1051571764179414,171,1,1,1,0,0.24737928695002967
1789,175,0,0.0,0.0,34,15688,0.7717843530883481,718,1,0,1,0,0.1580771627078413
3624,853,0,0.0,0.0,306,2429,0.6865806451612017,25,1,1,1,0,0.3161803262972769
2853,336,0,0.0,0.0,42,4212,0.1402327005511042,676,1,0,1,0,0.18923435704822622
2361,5598,0,0.0,0.0,2,5231,0.3458797048892902,958,1,0,1,0,0.15674278290729254
434,2214,0,0.0,0.0,63,3625,0.1038318912237073,1629,1,0,1,0,0.15223565299779251
5999,2241,0,0.0,0.0,12,294,0.8391684901527138,1337,1,0,1,0,0.12606644670686135
2274,689,0,0.0,0.0,88,168554,0.0017175617729975,469,1,0,1,0,0.22133732994117322
6050,2049,0,0.0,0.0,390,15727,0.2994966816622734,972,1,1,1,0,0.30788595647780687
255,4479,1,0.0192307692307692,0.1913602136571693,282,6550,0.9477008327943648,843,1,0,1,0,0.4323076811935413
7119,2954,0,0.0,0.0,195,19926,0.1050125763564451,46,1,0,1,0,0.2777147154350664
70,404,0,0.0,0.0,18,576,0.873822562978998,1644,1,0,1,0,0.1154787365089778
2270,1085,0,0.0,0.0,299,6460,0.8463879773624187,1420,1,1,1,0,0.216097069897483
253,3420,0,0.0,0.0,66,25758,0.0280366778612117,261,1,0,1,0,0.2242767997525051
980,7084,0,0.0,0.0,144,411181,0.0066484189470276,1024,0,0,1,0,0.45162273846353995
115,3784,0,0.0,0.0,43,364627,0.0011806343101644,1035,1,1,1,0,0.20184247741442282
1341,3362,0,0.0,0.0,12,9223,0.121619047619036,1261,1,1,1,0,0.17529563123278843
1530,2584,0,0.0,0.0,10,680,0.6553471870245031,1277,1,0,1,0,0.13410508564346854
2956,4584,0,0.0,0.0,24,10810,0.187950721153832,835,1,1,1,0,0.19672495217061362
6467,5950,0,0.0,0.0,195,4184481,0.0021376219313714,1382,0,0,1,0,0.4633774451779068
6734,1003,0,0.0,0.0,231,32883,0.1312514860901923,106,1,1,1,0,0.3166565894659876
4282,6867,0,0.0,0.0,576,94512,0.1431990426804933,442,1,0,1,0,0.4030515365864771
5442,1376,0,0.0,0.0,104,5928,0.2838849963759019,2476,1,0,1,0,0.12210790919328403
5476,2681,0,0.0,0.0,21,7778,0.354522821576734,1002,1,1,1,0,0.17989560713707176
3925,3869,0,0.0,0.0,146,5773821,0.0008102444525857,3123,0,0,1,0,0.3149080060426657
2354,3294,0,0.0,0.0,243,1930,0.4013647642678656,1656,1,0,1,0,0.184938021567977
144,2847,0,0.0,0.0,40,16445,0.1006289308176045,311,0,0,1,0,0.4531269189064256
2284,3077,1,0.0384615384615384,0.1953890599816478,140,5866,0.2465964551759251,412,1,0,1,0,0.4502117562015261
4301,342,1,0.0588235294117647,0.1889178940402413,80,9720,0.910416397854409,49,1,1,1,0,0.41165548000515007
4873,2618,0,0.0,0.0,136,62774,0.1486655093848303,150,1,1,1,0,0.276184899153306
2287,1369,0,0.0,0.0,10,185,0.9424034869237414,234,1,0,1,0,0.1665967824848867
3302,4127,0,0.0,0.0,403,13450,0.1822216817656604,1342,1,0,1,0,0.26512499422697217
728,3771,0,0.0,0.0,121,8977,0.7542836809547065,706,1,0,1,0,0.1819644946589856
4390,4400,0,0.0,0.0,46,280457,0.0020531323612089,93,0,0,1,0,0.4821910393648225
1115,4728,0,0.0,0.0,36,82672,0.0184153972192866,698,1,0,1,0,0.19227380512589773
3005,5288,0,0.0,0.0,735,75249,0.4001052321085453,736,1,0,1,0,0.4321531893773226
4087,3659,0,0.0,0.0,312,1560511,0.0015451787224731,1925,0,0,1,0,0.4609576515556771
705,2816,0,0.0,0.0,20,3817,0.6164204602551887,965,1,0,1,0,0.1502188745367636
2409,2567,0,0.0,0.0,60,15439,0.1198837076730065,1173,1,0,1,0,0.17106438612922764
81,4131,0,0.0,0.0,289,48579,0.1450971420526512,567,1,1,1,0,0.3064212172449058
3219,6814,0,0.0,0.0,184,217876,0.1162185075062767,260,1,1,1,0,0.28938770493131133
2011,3790,0,0.0,0.0,126,134198,0.0158550894690523,1041,0,0,1,0,0.4401117763872302
4337,2573,0,0.0,0.0,306,2283,0.3839719373987091,282,1,1,1,0,0.3176143522075223
4239,6763,0,0.0,0.0,70,1441,0.2932810201077522,685,1,1,1,0,0.21337213113651912
2962,4433,0,0.0,0.0,15,93,0.9735193621865108,1059,1,1,1,0,0.15027148304646398
6530,2039,0,0.0,0.0,28,385122,0.0006798414049363,363,0,1,1,0,0.4892591166978212
6074,6757,0,0.0,0.0,375,5685,0.3613077182338657,1041,1,0,1,0,0.2637660818684256
3995,1760,0,0.0,0.0,210,16427,0.5701988487702625,31,1,1,1,0,0.28592461941073344
5566,4902,0,0.0,0.0,120,265296,0.233850845578042,1547,0,1,1,0,0.41756550094762235
6731,1294,0,0.0,0.0,140,15489,0.2512689128438028,724,1,0,1,0,0.2103148899205674
546,4402,0,0.0,0.0,100,109458,0.063364794674105,1194,1,1,1,0,0.2066848723071915
1793,5193,0,0.0,0.0,240,508421,0.4719991442668469,1141,1,1,1,0,0.2342142730125867
2101,1698,0,0.0,0.0,34,190461,0.0316986618944969,1115,0,1,1,0,0.427804444557617
2680,2515,0,0.0,0.0,80,8712,0.5765940902021492,75,1,1,1,0,0.23658671722069963
6101,5940,0,0.0,0.0,63,4875,0.2256988564167367,1146,1,1,1,0,0.19028782331104138
4144,6257,0,0.0,0.0,36,26730,0.2338559431339323,356,1,1,1,0,0.22417445114662152
3721,3905,0,0.0,0.0,90,233237,0.048497705252422,307,1,0,1,0,0.22898777285502547
3651,5260,0,0.0,0.0,60,20922,0.0851370851370814,306,1,1,1,0,0.24298155233115473
4640,4985,0,0.0,0.0,63,22139,0.1735787076785183,753,1,0,1,0,0.1898288344483184
5898,3662,0,0.0,0.0,75,2021,0.3054982817868366,207,1,0,1,0,0.21580907169457947
3219,7030,0,0.0,0.0,253,229901,0.0674408888275926,844,1,0,1,0,0.2507073674616894
2323,903,0,0.0,0.0,25,271613,0.0073132222766378,264,0,1,1,0,0.4949556719809101
3023,6384,0,0.0,0.0,32,15962,0.4676494130202618,1699,1,1,1,0,0.14696798114269033
1838,5189,0,0.0,0.0,12,1285,0.3146666666664988,666,1,0,1,0,0.17373313587089392
3290,3408,0,0.0,0.0,96,7929,0.2791818181817928,267,1,0,1,0,0.22043028157680128
2523,5760,0,0.0,0.0,450,2236,0.4864492420761399,36,1,1,1,0,0.3895038382490752
5315,4898,0,0.0,0.0,148,17870,0.3166870602630652,334,1,1,1,0,0.2587017152723676
3368,3687,0,0.0,0.0,55,44212,0.0408504176157925,292,1,0,1,0,0.2184282607785858
1704,6500,0,0.0,0.0,49,41020,0.092799009200281,242,1,0,1,0,0.2166684908179016
6962,5961,0,0.0,0.0,24,367667,0.0022605156037991,1362,0,0,1,0,0.37156375791594204
112,5214,0,0.0,0.0,273,572045,0.0009954332317525,1923,1,0,1,0,0.20023720780707224
624,6200,0,0.0,0.0,7,2169,0.7968530486090852,152,1,0,1,0,0.17581315424342514
6165,552,0,0.0,0.0,280,20576,0.0944060560714715,271,1,1,1,0,0.3269590004612456
3615,5246,0,0.0,0.0,28,33672,0.0327195426732919,1989,1,0,1,0,0.1326593367436495
1859,919,0,0.0,0.0,775,13540,0.5360471491227886,577,1,0,1,0,0.45285174573516285
2840,2497,0,0.0,0.0,300,17582,0.2139663805436241,1161,1,1,1,0,0.26655328517378823
2364,6543,0,0.0,0.0,56,45805,0.2532848619216808,1053,1,1,1,0,0.191833044622757
5423,2936,1,0.0555555555555555,0.262697311013863,60,2650,0.7704832842542204,2479,1,0,1,0,0.3489571212583656
1265,311,0,0.0,0.0,120,2261,0.5492424242423147,13,1,1,1,0,0.25552818581560505
2894,1644,0,0.0,0.0,300,10273,0.3364123764614471,658,1,1,1,0,0.2922577602304833
4098,6283,0,0.0,0.0,24,811,0.6066925315224991,262,1,1,1,0,0.20666893936545852
5104,1596,0,0.0,0.0,120,74405,0.0134187252211038,246,1,0,1,0,0.24395123866036295
2676,5011,0,0.0,0.0,48,8988,0.6482191780821664,364,1,0,1,0,0.18331635274625782
6549,5834,0,0.0,0.0,44,136145,0.0063206603849325,1390,0,0,1,0,0.3767786833887474
5201,1695,0,0.0,0.0,108,31605,0.2413768272485,43,1,1,1,0,0.2672809404512111
3997,5463,0,0.0,0.0,128,1374,0.8336964415394779,573,1,0,1,0,0.18684955137285622
3011,4616,0,0.0,0.0,14,16115,0.0965408981330887,123,1,0,1,0,0.21208839924708855
4131,4356,0,0.0,0.0,238,16652,0.3311643973169325,500,1,1,1,0,0.27980901552481413
172,1774,1,0.0344827586206896,0.151992980321917,161,5680,0.2782719186784906,1507,1,0,1,0,0.2875292892125411
2011,2115,0,0.0,0.0,14,361,0.8330249768728802,49,1,0,1,0,0.18105135011671644
1102,6864,0,0.0,0.0,12,886,0.5961713764810409,285,1,0,1,0,0.17958913986363825
4742,3763,0,0.0,0.0,365,375712,0.0018437538190145,46,1,1,1,0,0.38761919878843276
7068,340,0,0.0,0.0,78,15359,0.365041961222028,245,1,0,1,0,0.21169070293088538
900,6747,0,0.0,0.0,112,18538,0.223376623376614,605,1,1,1,0,0.23508646995157673
4,4087,0,0.0,0.0,78,1562478,0.000286641849966,1343,0,0,1,0,0.4019769974724327
1226,2496,0,0.0,0.0,84,35015,0.0643204532093403,251,1,1,1,0,0.2558515748361989
745,5379,0,0.0,0.0,720,22801,0.6244337928876048,297,1,1,1,0,0.48055966160967184
2284,3125,1,0.0454545454545454,0.1953890599816478,60,52859,0.0350499278920747,603,1,1,1,0,0.44589317408168433
815,1498,0,0.0,0.0,39,14099,0.1602739726027301,471,1,1,1,0,0.22239388842101315
4723,1599,0,0.0,0.0,153,5240,0.7424175392026376,337,1,1,1,0,0.23643175670877745
1149,3741,0,0.0,0.0,76,230534,0.051312123718637,451,0,1,1,0,0.4996896571047841
1584,6960,0,0.0,0.0,36,11213,0.2862507956715285,1149,1,1,1,0,0.1799100488526731
467,2244,0,0.0,0.0,5,4457,0.3928620079007774,855,1,0,1,0,0.16009378434742375
2476,1088,1,0.0333333333333333,0.168495000422767,240,9439,0.651040703907699,357,1,1,1,0,0.4505758669170044
1725,3870,0,0.0,0.0,36,29211,0.042356489525619,1128,1,1,1,0,0.1920658375690641
3082,1384,0,0.0,0.0,8,23258,0.0873131107012483,2014,1,1,1,0,0.1428567307177195
1961,2035,0,0.0,0.0,264,23570,0.0391749215278611,696,1,0,1,0,0.2647480364816508
4253,6290,0,0.0,0.0,27,2637,0.7964963728969905,394,1,0,1,0,0.1697848673027637
