from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
1391,5347,0,0.0,0.0,50,4690,0.2519936204146328,804,1,0,1,0,0.12555799
2590,5042,0,0.0,0.0,84,1510,0.7560975609754875,295,1,1,1,0,0.2105431
2809,1623,1,0.0666666666666666,0.1844836349427226,48,2862,0.7298980747451179,257,1,1,1,0,0.13793038
2354,3044,0,0.0,0.0,54,968,0.2519319938174251,196,1,1,1,0,0.14623775
5897,2667,0,0.0,0.0,9,7681,0.6844159579275778,793,1,0,1,0,0.04208575
1621,2656,0,0.0,0.0,36,22449,0.1027219313321834,33,1,1,1,0,0.114818215
3988,6642,0,0.0,0.0,56,31754,0.0793006465829661,1396,1,1,1,0,0.17137864
358,2798,0,0.0,0.0,105,239660,0.0058736663956594,1798,1,0,1,0,0.25238073
351,6985,0,0.0,0.0,55,7652,0.0477849676455888,179,1,1,1,0,0.14388986
2126,6157,0,0.0,0.0,36,4905,0.2700892857142455,1467,1,1,1,0,0.09595494
4557,5466,0,0.0,0.0,217,9826,0.4486280231187672,736,1,1,1,0,0.44626865
2455,4924,0,0.0,0.0,4,2334,0.1915483200553545,499,1,1,1,0,0.07113385
3262,6883,0,0.0,0.0,216,19539,0.2401415571284031,162,1,1,1,0,0.4762489
559,6855,0,0.0,0.0,30,104455,0.1692844815931146,1138,1,0,1,0,0.09077684
3757,2715,0,0.0,0.0,66,1809,0.7083198968073672,144,1,1,1,0,0.17069517
4634,3813,0,0.0,0.0,180,2778,0.7874033825667109,216,1,0,1,0,0.3022242
331,2399,0,0.0,0.0,56,30580,0.0396030275431035,1006,1,1,1,0,0.20425098
5402,3386,0,0.0,0.0,114,353530,0.0096727295137303,1761,0,0,1,0,0.3747405
5540,1614,0,0.0,0.0,12,19481,0.134254732912624,1441,1,0,1,0,0.10307234
4819,2849,0,0.0,0.0,368,1170,0.7929203539821604,1361,1,0,1,0,0.43117607
6368,5350,0,0.0,0.0,255,22036,0.1526244952893615,151,1,0,1,0,0.46736422
4641,2622,0,0.0,0.0,40,920,0.8723463299568651,496,1,0,1,0,0.06271673
3338,5647,1,0.0476190476190476,0.1900168856810646,85,139755,0.1340273259596608,360,1,0,1,0,0.3476698
749,3771,1,0.05,0.152948702070391,110,22052,0.3963978759511579,1058,1,1,1,0,0.18412042
559,2792,0,0.0,0.0,90,10702,0.4972282251244716,1491,1,0,1,0,0.20534062
6873,5177,0,0.0,0.0,51,5321,0.1110925492816386,558,1,1,1,0,0.1537606
2654,6325,0,0.0,0.0,295,10243,0.0570744729816756,1726,1,0,1,0,0.3877487
5434,5035,0,0.0,0.0,24,456,0.890226287915048,979,1,1,1,0,0.051826227
1367,1715,0,0.0,0.0,60,238440,0.0298246327867517,1375,0,0,1,0,0.29008317
2124,902,0,0.0,0.0,8,2065,0.0100671140939549,452,1,0,1,0,0.08583604
5768,3256,0,0.0,0.0,48,311403,0.000651463707374,1227,0,0,1,0,0.29280525
1414,6342,0,0.0,0.0,113,2487644,0.0003516147556036,2576,0,0,1,0,0.49578553
65,3612,0,0.0,0.0,88,30643,0.055889330498812,955,1,1,1,0,0.2808454
6147,6883,0,0.0,0.0,468,22375,0.1298514427938037,1273,1,0,1,0,0.46314177
758,4716,0,0.0,0.0,9,843,0.5618503118500199,1693,1,0,1,0,0.080106385
4716,4099,0,0.0,0.0,12,1372,0.4406848756622745,726,1,0,1,0,0.064818926
858,7014,0,0.0,0.0,64,112625,0.0612940597937967,103,1,1,1,0,0.17373465
3079,5601,0,0.0,0.0,12,2731,0.378470641784165,370,1,1,1,0,0.06104205
5519,2256,0,0.0,0.0,19,2802,0.0952534711010348,1947,1,0,1,0,0.08925395
3700,2618,0,0.0,0.0,85,59551,0.1923755017901677,812,1,0,1,0,0.22827804
2722,2908,0,0.0,0.0,60,802209,0.001568199893213,151,0,0,1,0,0.4408661
6474,5176,0,0.0,0.0,43,472823,0.0026935245728749,1262,0,0,1,0,0.293409
502,5490,0,0.0,0.0,190,381417,0.1774860314715094,533,0,0,1,0,0.41499156
6868,3028,0,0.0,0.0,8,9041,0.0358323557640998,176,1,0,1,0,0.063184895
3022,363,0,0.0,0.0,198,63888,0.4988704819277069,305,1,0,1,0,0.36555192
4943,1372,0,0.0,0.0,17,506269,0.0036212702392596,61,0,1,1,0,0.21170914
100,6071,0,0.0,0.0,48,7011,0.2194388777554865,381,1,1,1,0,0.13623464
3450,6900,1,0.0769230769230769,0.2316161558997167,45,983,0.7356816348478796,739,1,1,1,0,0.48974404
4457,6193,0,0.0,0.0,85,23106,0.1828405715094008,446,1,0,1,0,0.19766217
6047,777,0,0.0,0.0,33,19219,0.1508792082707364,452,1,1,1,0,0.11562803
1914,6975,0,0.0,0.0,12,458,0.9601496563124544,1021,1,0,1,0,0.03998251
2935,3436,0,0.0,0.0,546,12892,0.0401310401310371,2202,1,0,1,0,0.4850803
6838,5141,0,0.0,0.0,196,117377,0.0867024587612816,86,1,1,1,0,0.46378157
3966,2051,0,0.0,0.0,6,98570,0.0028325746079918,1493,1,1,1,0,0.11513883
745,5921,0,0.0,0.0,168,36351,0.0411237140596138,234,1,0,1,0,0.4426138
5530,4414,0,0.0,0.0,150,3168,0.4672944341684097,258,1,0,1,0,0.3097481
5730,4466,0,0.0,0.0,328,36255,0.8290850119977522,1496,1,0,1,0,0.38227007
3525,5395,0,0.0,0.0,8,5812,0.1549869148007916,157,1,1,1,0,0.06784036
1317,4153,0,0.0,0.0,10,2535,0.6164901664144301,1659,1,1,1,0,0.068708435
4356,2163,0,0.0,0.0,140,21636,0.1309796361007297,322,1,0,1,0,0.34484425
4242,5601,0,0.0,0.0,172,6590,0.2015024839452076,228,1,0,1,0,0.37320206
2591,5689,0,0.0,0.0,108,38786,0.2802078500510294,202,1,1,1,0,0.32511118
148,4554,0,0.0,0.0,4,2800,0.0816661200393303,128,1,1,1,0,0.05665848
3863,1386,0,0.0,0.0,52,39995,0.1051571764179414,171,1,1,1,0,0.13664617
1789,175,0,0.0,0.0,34,15688,0.7717843530883481,718,1,0,1,0,0.060166307
2853,336,0,0.0,0.0,42,4212,0.1402327005511042,676,1,0,1,0,0.09942021
2361,5598,0,0.0,0.0,2,5231,0.3458797048892902,958,1,0,1,0,0.052264277
434,2214,0,0.0,0.0,63,3625,0.1038318912237073,1629,1,0,1,0,0.18682736
5999,2241,0,0.0,0.0,12,294,0.8391684901527138,1337,1,0,1,0,0.037163664
2274,689,0,0.0,0.0,88,168554,0.0017175617729975,469,1,0,1,0,0.32129514
7119,2954,0,0.0,0.0,195,19926,0.1050125763564451,46,1,0,1,0,0.47064087
70,404,0,0.0,0.0,18,576,0.873822562978998,1644,1,0,1,0,0.060108412
2270,1085,0,0.0,0.0,299,6460,0.8463879773624187,1420,1,1,1,0,0.47933578
253,3420,0,0.0,0.0,66,25758,0.0280366778612117,261,1,0,1,0,0.19498353
115,3784,0,0.0,0.0,43,364627,0.0011806343101644,1035,1,1,1,0,0.20425694
1341,3362,0,0.0,0.0,12,9223,0.121619047619036,1261,1,1,1,0,0.08103828
604,5972,1,0.2,0.318928988903801,8,8101,0.1881138504710174,205,1,0,1,0,0.40855446
1530,2584,0,0.0,0.0,10,680,0.6553471870245031,1277,1,0,1,0,0.040073946
2956,4584,0,0.0,0.0,24,10810,0.187950721153832,835,1,1,1,0,0.11567456
6734,1003,0,0.0,0.0,231,32883,0.1312514860901923,106,1,1,1,0,0.48610505
5442,1376,0,0.0,0.0,104,5928,0.2838849963759019,2476,1,0,1,0,0.14634453
5476,2681,0,0.0,0.0,21,7778,0.354522821576734,1002,1,1,1,0,0.084979095
2354,3294,0,0.0,0.0,243,1930,0.4013647642678656,1656,1,0,1,0,0.33341965
144,2847,0,0.0,0.0,40,16445,0.1006289308176045,311,0,0,1,0,0.15051532
4301,342,1,0.0588235294117647,0.1889178940402413,80,9720,0.910416397854409,49,1,1,1,0,0.28418067
4873,2618,0,0.0,0.0,136,62774,0.1486655093848303,150,1,1,1,0,0.3577334
2287,1369,0,0.0,0.0,10,185,0.9424034869237414,234,1,0,1,0,0.050852668
3302,4127,0,0.0,0.0,403,13450,0.1822216817656604,1342,1,0,1,0,0.4042815
728,3771,0,0.0,0.0,121,8977,0.7542836809547065,706,1,0,1,0,0.2118192
4390,4400,0,0.0,0.0,46,280457,0.0020531323612089,93,0,0,1,0,0.33256686
1115,4728,0,0.0,0.0,36,82672,0.0184153972192866,698,1,0,1,0,0.1313547
705,2816,0,0.0,0.0,20,3817,0.6164204602551887,965,1,0,1,0,0.0513218
2409,2567,0,0.0,0.0,60,15439,0.1198837076730065,1173,1,0,1,0,0.17879748
3219,6814,0,0.0,0.0,184,217876,0.1162185075062767,260,1,1,1,0,0.41873738
2011,3790,0,0.0,0.0,126,134198,0.0158550894690523,1041,0,0,1,0,0.44473597
4239,6763,0,0.0,0.0,70,1441,0.2932810201077522,685,1,1,1,0,0.20382106
2962,4433,0,0.0,0.0,15,93,0.9735193621865108,1059,1,1,1,0,0.050642308
6530,2039,0,0.0,0.0,28,385122,0.0006798414049363,363,0,1,1,0,0.30568284
6074,6757,0,0.0,0.0,375,5685,0.3613077182338657,1041,1,0,1,0,0.4644578
3995,1760,0,0.0,0.0,210,16427,0.5701988487702625,31,1,1,1,0,0.4997867
5566,4902,0,0.0,0.0,120,265296,0.233850845578042,1547,0,1,1,0,0.34691077
6731,1294,0,0.0,0.0,140,15489,0.2512689128438028,724,1,0,1,0,0.3120458
546,4402,0,0.0,0.0,100,109458,0.063364794674105,1194,1,1,1,0,0.31104746
1793,5193,0,0.0,0.0,240,508421,0.4719991442668469,1141,1,1,1,0,0.46745756
2101,1698,0,0.0,0.0,34,190461,0.0316986618944969,1115,0,1,1,0,0.20614347
2680,2515,0,0.0,0.0,80,8712,0.5765940902021492,75,1,1,1,0,0.23291594
6101,5940,0,0.0,0.0,63,4875,0.2256988564167367,1146,1,1,1,0,0.16935077
4144,6257,0,0.0,0.0,36,26730,0.2338559431339323,356,1,1,1,0,0.10767402
5566,4372,0,0.0,0.0,24,341653,0.0133392246557619,174,0,1,1,0,0.25462288
3721,3905,0,0.0,0.0,90,233237,0.048497705252422,307,1,0,1,0,0.26206562
3651,5260,0,0.0,0.0,60,20922,0.0851370851370814,306,1,1,1,0,0.15203962
4640,4985,0,0.0,0.0,63,22139,0.1735787076785183,753,1,0,1,0,0.15659304
5898,3662,0,0.0,0.0,75,2021,0.3054982817868366,207,1,0,1,0,0.17154959
3219,7030,0,0.0,0.0,253,229901,0.0674408888275926,844,1,0,1,0,0.45363444
2323,903,0,0.0,0.0,25,271613,0.0073132222766378,264,0,1,1,0,0.28618512
3023,6384,0,0.0,0.0,32,15962,0.4676494130202618,1699,1,1,1,0,0.10077483
1838,5189,0,0.0,0.0,12,1285,0.3146666666664988,666,1,0,1,0,0.067436524
3290,3408,0,0.0,0.0,96,7929,0.2791818181817928,267,1,0,1,0,0.23967698
5315,4898,0,0.0,0.0,148,17870,0.3166870602630652,334,1,1,1,0,0.37534842
3368,3687,0,0.0,0.0,55,44212,0.0408504176157925,292,1,0,1,0,0.15228464
1704,6500,0,0.0,0.0,49,41020,0.092799009200281,242,1,0,1,0,0.114403985
6962,5961,0,0.0,0.0,24,367667,0.0022605156037991,1362,0,0,1,0,0.24079394
112,5214,0,0.0,0.0,273,572045,0.0009954332317525,1923,1,0,1,0,0.40267587
624,6200,0,0.0,0.0,7,2169,0.7968530486090852,152,1,0,1,0,0.041496713
3615,5246,0,0.0,0.0,28,33672,0.0327195426732919,1989,1,0,1,0,0.116764545
2840,2497,0,0.0,0.0,300,17582,0.2139663805436241,1161,1,1,1,0,0.46962494
2364,6543,0,0.0,0.0,56,45805,0.2532848619216808,1053,1,1,1,0,0.17100535
5423,2936,1,0.0555555555555555,0.262697311013863,60,2650,0.7704832842542204,2479,1,0,1,0,0.37552392
1265,311,0,0.0,0.0,120,2261,0.5492424242423147,13,1,1,1,0,0.37586346
4098,6283,0,0.0,0.0,24,811,0.6066925315224991,262,1,1,1,0,0.09127178
5104,1596,0,0.0,0.0,120,74405,0.0134187252211038,246,1,0,1,0,0.38689944
2676,5011,0,0.0,0.0,48,8988,0.6482191780821664,364,1,0,1,0,0.076807246
6549,5834,0,0.0,0.0,44,136145,0.0063206603849325,1390,0,0,1,0,0.27369884
5201,1695,0,0.0,0.0,108,31605,0.2413768272485,43,1,1,1,0,0.3340165
3997,5463,0,0.0,0.0,128,1374,0.8336964415394779,573,1,0,1,0,0.19891584
3011,4616,0,0.0,0.0,14,16115,0.0965408981330887,123,1,0,1,0,0.06588803
4131,4356,0,0.0,0.0,238,16652,0.3311643973169325,500,1,1,1,0,0.4685415
172,1774,1,0.0344827586206896,0.151992980321917,161,5680,0.2782719186784906,1507,1,0,1,0,0.39987972
2011,2115,0,0.0,0.0,14,361,0.8330249768728802,49,1,0,1,0,0.04978186
1102,6864,0,0.0,0.0,12,886,0.5961713764810409,285,1,0,1,0,0.044481546
7068,340,0,0.0,0.0,78,15359,0.365041961222028,245,1,0,1,0,0.17010038
900,6747,0,0.0,0.0,112,18538,0.223376623376614,605,1,1,1,0,0.29554436
4,4087,0,0.0,0.0,78,1562478,0.000286641849966,1343,0,0,1,0,0.45888084
1226,2496,0,0.0,0.0,84,35015,0.0643204532093403,251,1,1,1,0,0.21731076
2284,3125,1,0.0454545454545454,0.1953890599816478,60,52859,0.0350499278920747,603,1,1,1,0,0.38444075
815,1498,0,0.0,0.0,39,14099,0.1602739726027301,471,1,1,1,0,0.1301096
4723,1599,0,0.0,0.0,153,5240,0.7424175392026376,337,1,1,1,0,0.42942196
1149,3741,0,0.0,0.0,76,230534,0.051312123718637,451,0,1,1,0,0.39070562
1584,6960,0,0.0,0.0,36,11213,0.2862507956715285,1149,1,1,1,0,0.1121441
467,2244,0,0.0,0.0,5,4457,0.3928620079007774,855,1,0,1,0,0.061689112
1725,3870,0,0.0,0.0,36,29211,0.042356489525619,1128,1,1,1,0,0.1469297
492,3599,0,0.0,0.0,56,1185930,6.576684137037857e-05,222,0,1,1,0,0.41563588
3082,1384,0,0.0,0.0,8,23258,0.0873131107012483,2014,1,1,1,0,0.08875627
1961,2035,0,0.0,0.0,264,23570,0.0391749215278611,696,1,0,1,0,0.49327993
3022,1670,0,0.0,0.0,54,126775,0.0055926832329316,225,0,1,1,0,0.35663193
4253,6290,0,0.0,0.0,27,2637,0.7964963728969905,394,1,0,1,0,0.05097758
2632,5061,0,0.0,0.0,147,25203,0.1366766005549228,112,1,1,1,0,0.3777129
3591,2487,0,0.0,0.0,68,5454,0.7412099644127762,1510,1,1,1,0,0.17383943
2573,2465,0,0.0,0.0,9,3002,0.3215819209038821,715,1,1,1,0,0.073680684
2588,1612,0,0.0,0.0,42,2588,0.75392222116566,69,1,1,1,0,0.11545066
4129,6883,0,0.0,0.0,144,23701,0.0782842031578098,302,1,1,1,0,0.360374
5014,6667,0,0.0,0.0,6,6442,0.2095705521472135,913,1,1,1,0,0.08433307
6337,6094,0,0.0,0.0,28,4659,0.5368326871457861,333,1,1,1,0,0.09801135
7122,7029,0,0.0,0.0,126,23111,0.8902236282109701,899,0,1,1,0,0.4967578
6611,6747,0,0.0,0.0,301,7369,0.4198094638217132,71,1,0,1,0,0.48391095
2764,6541,0,0.0,0.0,8,12166,0.0739133744386028,1987,1,1,1,0,0.089715496
2819,7122,0,0.0,0.0,126,172586,0.0791336965163241,671,1,1,1,0,0.34121898
1942,6949,0,0.0,0.0,16,362201,0.0016345364035788,127,0,0,1,0,0.24357927
4987,3218,0,0.0,0.0,55,21003,0.3598012619257976,607,1,1,1,0,0.14975604
5390,5427,0,0.0,0.0,81,70131,0.0082725267266246,1190,1,1,1,0,0.29561773
3820,4638,0,0.0,0.0,45,177659,0.0171172815942196,126,0,0,1,0,0.28561568
5453,2001,1,0.0476190476190476,0.151992980321917,121,5470,0.2885015608740519,8,1,1,1,0,0.18968809
4225,3283,0,0.0,0.0,4,5857,0.0841282251759055,19,1,0,1,0,0.06091973
6952,728,0,0.0,0.0,176,85761,0.2431829012160447,395,0,0,1,0,0.36602995
1176,3606,0,0.0,0.0,4,12819,0.2186395221260381,38,1,0,1,0,0.06524912
624,6394,0,0.0,0.0,35,14993,0.415932995714826,46,1,1,1,0,0.105826706
6270,3821,0,0.0,0.0,403,114549,0.1768362353313151,432,1,0,1,0,0.49760512
577,6710,0,0.0,0.0,20,4909,0.1911352776404364,650,1,0,1,0,0.070122674
1382,3487,0,0.0,0.0,42,1212488,0.0004830702826043,2000,0,0,1,0,0.2819234
4844,5646,0,0.0,0.0,36,16322,0.0912532709759984,297,1,0,1,0,0.08737654
5481,7047,0,0.0,0.0,4,693839,0.0005545760446196,510,1,0,1,0,0.09457214
206,4220,0,0.0,0.0,48,20698,0.0346982557597222,299,1,1,1,0,0.14918521
3647,5854,0,0.0,0.0,80,28426,0.7732251553662113,1023,0,0,1,0,0.15720065
4049,2650,0,0.0,0.0,18,1077390,0.001342184832199,783,1,1,1,0,0.16043836
1593,4325,0,0.0,0.0,70,9883,0.4529805723141388,232,1,0,1,0,0.122076005
2814,6574,0,0.0,0.0,18,8170,0.0335935651762439,1312,1,1,1,0,0.10035366
