from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
1781,3581,0,0.0,0.0,351,7858,0.2579792256845837,911,1,1,0,1,0.532685
2323,6116,0,0.0,0.0,425,271078,0.0092685315809863,1122,0,0,0,1,0.70852005
1513,4418,0,0.0,0.0,90,611412,0.0021314862628484,446,0,1,0,1,0.5033526
70,4482,0,0.0,0.0,150,855137,0.0053099795045259,344,0,1,0,1,0.6144144
368,652,1,0.0138888888888888,0.152948702070391,340,3932948,0.0003136611371817,578,0,0,0,1,0.88198686
2212,4945,0,0.0,0.0,828,1136429,0.0175350476177302,27,0,1,0,1,0.8297017
713,3754,1,0.037037037037037,0.2330752717085092,160,33887,0.3966849451644994,957,1,1,0,1,0.6909113
2928,3940,0,0.0,0.0,186,516814,0.0003210955936399,1201,0,1,0,1,0.5809168
217,2444,0,0.0,0.0,234,385281,0.0197060754250354,211,0,1,0,1,0.66222197
736,3117,2,0.0625,0.4781592975975622,288,2415,0.2903320599470201,713,1,1,0,1,0.94047034
5446,5619,1,0.0256410256410256,0.152948702070391,300,17792,0.5994957680532911,457,1,0,0,1,0.65750736
1170,6420,0,0.0,0.0,184,63913,0.2855529969371069,471,0,1,0,1,0.58309376
4985,6136,0,0.0,0.0,2646,178495894,2.605034077655248e-05,951,0,0,0,1,0.96975964
2809,5273,2,0.0714285714285714,0.3157611263467897,216,10338,0.5061622241329652,751,1,1,0,1,0.64978904
1185,2213,0,0.0,0.0,162,1295056,0.0008031806261414,514,0,1,0,1,0.64422965
2061,5204,0,0.0,0.0,1242,303960,0.7234995374375398,370,1,1,0,1,0.8133146
1120,6564,0,0.0,0.0,405,1386,0.7667452036350106,1554,1,1,0,1,0.53988016
3198,6969,0,0.0,0.0,248,3069,0.5563746747614113,213,1,1,0,1,0.522824
1425,6659,0,0.0,0.0,297,12631,0.6099857963317294,462,1,1,0,1,0.53718525
3762,4245,0,0.0,0.0,216,31013,0.4965340346434115,291,1,1,0,1,0.50884956
2354,6986,0,0.0,0.0,648,1445282,0.0008945261085487,94,0,0,0,1,0.81607693
4487,4791,1,0.0384615384615384,0.2462785458144944,92,132271,0.0718541024903335,1903,0,0,0,1,0.78667176
1742,2269,1,0.1,0.3459762562611936,30,1377,0.4056970220110463,1120,1,0,0,1,0.868088
2858,6116,0,0.0,0.0,612,2261178,0.0011202828625877,624,0,1,0,1,0.8498228
6358,6863,0,0.0,0.0,552,8500,0.449660084169605,547,1,0,0,1,0.58361834
3692,4382,0,0.0,0.0,407,786147,0.0078586627022087,1593,0,1,0,1,0.68081313
1236,2811,0,0.0,0.0,130,2039574,0.0048839179072436,166,0,1,0,1,0.54651487
739,1205,0,0.0,0.0,370,26848,0.0044866328006227,576,1,0,0,1,0.6102394
2525,2845,0,0.0,0.0,1060,833308,0.1350360493335075,890,0,1,0,1,0.79526454
35,6925,0,0.0,0.0,468,49478802,7.600657225455359e-05,2840,0,0,0,1,0.7371586
