from,to,common_neighbors,jaccard,adamic_adar,preferential_attachment,link,prediction,probability
1,1132,0.0,0.0,0.0,208.0,1,0.0,"[0.693433508117944,0.306566491882056]"
1,3180,0.0,0.0,0.0,156.0,1,0.0,"[0.7231759811253247,0.27682401887467534]"
3,1277,0.0,0.0,0.0,105.0,1,0.0,"[0.7505504780887914,0.24944952191120862]"
14,3846,0.0,0.0,0.0,150.0,1,0.0,"[0.7264910359451291,0.2735089640548709]"
14,4302,0.0,0.0,0.0,20.0,1,0.0,"[0.7919988847588305,0.2080011152411695]"
21,745,0.0,0.0,0.0,168.0,1,0.0,"[0.7164720062062849,0.28352799379371507]"
21,6554,0.0,0.0,0.0,42.0,1,0.0,"[0.7817804612034681,0.2182195387965319]"
24,6978,0.0,0.0,0.0,122.0,1,0.0,"[0.7416298634870295,0.25837013651297047]"
49,6216,0.0,0.0,0.0,35.0,1,0.0,"[0.785070538141551,0.21492946185844897]"
53,5576,0.0,0.0,0.0,189.0,1,0.0,"[0.7045072476623465,0.2954927523376535]"
57,6329,0.0,0.0,0.0,104.0,1,0.0,"[0.7510687654857173,0.24893123451428267]"
67,5512,0.0,0.0,0.0,10.0,1,0.0,"[0.7965254992774643,0.2034745007225357]"
73,4580,0.0,0.0,0.0,27.0,1,0.0,"[0.7887863315426353,0.21121366845736467]"
80,6025,0.0,0.0,0.0,170.0,1,0.0,"[0.7153451852783425,0.28465481472165755]"
81,4190,0.0,0.0,0.0,204.0,1,0.0,"[0.6957840330920855,0.3042159669079145]"
89,640,0.0,0.0,0.0,115.0,1,0.0,"[0.7453280903165885,0.25467190968341147]"
93,1664,0.0,0.0,0.0,308.0,1,0.0,"[0.6316266729237382,0.3683733270762618]"
93,2469,0.0,0.0,0.0,308.0,1,0.0,"[0.6316266729237382,0.3683733270762618]"
93,6915,0.0,0.0,0.0,154.0,1,0.0,"[0.7242837512679104,0.27571624873208955]"
99,2321,0.0,0.0,0.0,380.0,1,0.0,"[0.584129278695619,0.41587072130438096]"
99,3373,0.0,0.0,0.0,140.0,1,0.0,"[0.7319607868010749,0.2680392131989251]"
100,1844,0.0,0.0,0.0,432.0,1,0.0,"[0.5487689449746619,0.4512310550253381]"
101,5398,0.0,0.0,0.0,4.0,1,0.0,"[0.7992060587322827,0.20079394126771732]"
117,7105,0.0,0.0,0.0,15.0,1,0.0,"[0.7942714169746994,0.20572858302530062]"
121,2273,0.0,0.0,0.0,152.0,1,0.0,"[0.7253887717650762,0.2746112282349238]"
121,4871,0.0,0.0,0.0,190.0,1,0.0,"[0.7039302317364765,0.2960697682635235]"
122,6047,0.0,0.0,0.0,18.0,1,0.0,"[0.7929101121458013,0.20708988785419868]"
127,1312,0.0,0.0,0.0,85.0,1,0.0,"[0.7607788266431447,0.23922117335685533]"
128,1354,0.0,0.0,0.0,12.0,1,0.0,"[0.7956260797695797,0.20437392023042034]"
133,988,0.0,0.0,0.0,481.0,1,0.0,"[0.5149851650534771,0.48501483494652287]"
133,4092,0.0,0.0,0.0,222.0,1,0.0,"[0.685127685052775,0.314872314947225]"
137,1294,0.0,0.0,0.0,49.0,1,0.0,"[0.7784542332509483,0.2215457667490517]"
138,6844,0.0,0.0,0.0,14.0,1,0.0,"[0.7947237091509788,0.20527629084902121]"
140,3770,0.0,0.0,0.0,3.0,1,0.0,"[0.7996502386777885,0.2003497613222115]"
146,3238,0.0,0.0,0.0,144.0,1,0.0,"[0.7297812256288633,0.2702187743711367]"
149,4404,0.0,0.0,0.0,224.0,1,0.0,"[0.6839312469814429,0.3160687530185571]"
149,4409,0.0,0.0,0.0,32.0,1,0.0,"[0.7864694984521227,0.21353050154787734]"
149,6225,0.0,0.0,0.0,80.0,1,0.0,"[0.7632905102446486,0.23670948975535144]"
150,2564,0.0,0.0,0.0,276.0,1,0.0,"[0.6520012782574444,0.34799872174255564]"
150,3827,0.0,0.0,0.0,368.0,1,0.0,"[0.5921813105613389,0.40781868943866106]"
150,4814,0.0,0.0,0.0,46.0,1,0.0,"[0.7798841841566061,0.2201158158433939]"
150,5264,0.0,0.0,0.0,138.0,1,0.0,"[0.7330463795441917,0.2669536204558083]"
160,2866,0.0,0.0,0.0,32.0,1,0.0,"[0.7864694984521227,0.21353050154787734]"
160,6300,0.0,0.0,0.0,96.0,1,0.0,"[0.7551890891360628,0.24481091086393725]"
178,4250,0.0,0.0,0.0,316.0,1,0.0,"[0.6264553795157284,0.3735446204842716]"
178,5947,0.0,0.0,0.0,395.0,1,0.0,"[0.57400121506804,0.42599878493196]"
182,633,0.0,0.0,0.0,78.0,1,0.0,"[0.7642900752272954,0.23570992477270458]"
