from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,link,prediction,probability
2087,1661,0,0.0,0.0,72,1,0,0.25095627
2788,1916,0,0.0,0.0,78,1,0,0.26794368
3830,6719,0,0.0,0.0,100,1,0,0.3256736
3096,1191,0,0.0,0.0,100,1,0,0.3256736
2119,6789,0,0.0,0.0,27,1,0,0.107973665
69,3465,0,0.0,0.0,65,1,0,0.2320633
6962,1623,0,0.0,0.0,96,1,0,0.31489792
5304,6549,0,0.0,0.0,84,1,0,0.28377318
592,4298,0,0.0,0.0,48,1,0,0.18633185
2754,6356,0,0.0,0.0,15,1,0,0.07756196
3524,969,0,0.0,0.0,48,1,0,0.18633185
409,54,0,0.0,0.0,22,1,0,0.09419865
3410,2840,0,0.0,0.0,75,1,0,0.25935948
3409,3793,0,0.0,0.0,30,1,0,0.11706486
5188,1363,0,0.0,0.0,3,1,0,0.05518617
3867,369,0,0.0,0.0,104,1,0,0.33663684
93,3027,0,0.0,0.0,154,1,0,0.4321967
2036,2359,0,0.0,0.0,105,1,0,0.33940595
6628,3574,0,0.0,0.0,104,1,0,0.33663684
4625,3123,0,0.0,0.0,208,1,0,0.4970035
5580,6462,0,0.0,0.0,94,1,0,0.309583
2069,2424,0,0.0,0.0,143,1,0,0.41394594
2962,4433,0,0.0,0.0,15,1,0,0.07756196
1099,6308,0,0.0,0.0,5,1,0,0.058439072
5006,5001,0,0.0,0.0,72,1,0,0.25095627
212,6807,1,0.125,0.15199298032191702,18,1,0,0.051181827
2722,1786,0,0.0,0.0,150,1,0,0.42646953
2466,2136,0,0.0,0.0,150,1,0,0.42646953
1483,3817,0,0.0,0.0,84,1,0,0.28377318
14,3846,0,0.0,0.0,150,1,0,0.42646953
1132,6101,0,0.0,0.0,168,1,0,0.4488883
6651,3576,0,0.0,0.0,160,1,0,0.43935037
7044,7038,0,0.0,0.0,14,1,0,0.075417444
4698,6790,0,0.0,0.0,51,1,0,0.19632122
2524,1575,0,0.0,0.0,44,1,0,0.16861594
15,5442,0,0.0,0.0,40,1,0,0.15226923
5292,6499,0,0.0,0.0,40,1,0,0.15226923
6943,3427,0,0.0,0.0,135,1,0,0.39938042
5490,3792,0,0.0,0.0,20,1,0,0.08914354
1984,3282,0,0.0,0.0,32,1,0,0.12348837
3730,1015,0,0.0,0.0,10,1,0,0.06737377
745,5921,0,0.0,0.0,168,1,0,0.4488883
6315,4904,0,0.0,0.0,86,1,0,0.2888305
4556,4011,0,0.0,0.0,26,1,0,0.105084054
2694,3651,1,0.04,0.152948702070391,120,1,0,0.31833687
1645,2365,0,0.0,0.0,54,1,0,0.20442998
441,1359,0,0.0,0.0,82,1,0,0.27876988
5840,853,0,0.0,0.0,63,1,0,0.22685142
788,5209,0,0.0,0.0,90,1,0,0.2991036
4346,624,0,0.0,0.0,28,1,0,0.11093289
3489,3906,0,0.0,0.0,136,1,0,0.40120384
291,416,0,0.0,0.0,96,1,0,0.31489792
4227,5687,0,0.0,0.0,105,1,0,0.33940595
5609,6895,0,0.0,0.0,52,1,0,0.19909246
6852,6013,0,0.0,0.0,30,1,0,0.11706486
4345,5793,0,0.0,0.0,27,1,0,0.107973665
1701,2467,0,0.0,0.0,63,1,0,0.22685142
1303,1575,0,0.0,0.0,120,1,0,0.37239057
2924,1271,0,0.0,0.0,112,1,0,0.3555436
1104,6972,0,0.0,0.0,168,1,0,0.4488883
2158,1926,0,0.0,0.0,7,1,0,0.06187128
2847,3512,0,0.0,0.0,16,1,0,0.07976234
2128,397,0,0.0,0.0,36,1,0,0.13724567
6298,5481,0,0.0,0.0,12,1,0,0.07129103
3837,4993,0,0.0,0.0,12,1,0,0.07129103
4967,6075,0,0.0,0.0,136,1,0,0.40120384
587,222,0,0.0,0.0,40,1,0,0.15226923
4665,4485,0,0.0,0.0,112,1,0,0.3555436
458,4693,0,0.0,0.0,147,1,0,0.42124537
5361,1061,0,0.0,0.0,18,1,0,0.0843346
5269,3328,0,0.0,0.0,147,1,0,0.42124537
3181,756,0,0.0,0.0,182,1,0,0.46566626
1567,3317,0,0.0,0.0,162,1,0,0.4417309
2709,2668,0,0.0,0.0,48,1,0,0.18633185
2605,6472,0,0.0,0.0,84,1,0,0.28377318
121,2273,0,0.0,0.0,152,1,0,0.4297416
6224,5374,0,0.0,0.0,6,1,0,0.06013226
6118,688,0,0.0,0.0,125,1,0,0.38130826
3841,154,0,0.0,0.0,90,1,0,0.2991036
546,722,0,0.0,0.0,75,1,0,0.25935948
1877,7029,0,0.0,0.0,210,1,0,0.49941823
5397,2638,0,0.0,0.0,143,1,0,0.41394594
3760,3825,0,0.0,0.0,146,1,0,0.41941714
243,2030,0,0.0,0.0,187,1,0,0.47167924
2064,4954,0,0.0,0.0,140,1,0,0.40849587
2848,2666,0,0.0,0.0,4,1,0,0.056790743
3807,1983,0,0.0,0.0,204,1,0,0.49217466
6947,2274,1,0.043478260869565216,0.15199298032191702,128,1,0,0.3022149
354,749,0,0.0,0.0,90,1,0,0.2991036
1337,2744,0,0.0,0.0,135,1,0,0.39938042
2371,1360,0,0.0,0.0,30,1,0,0.11706486
5006,3149,0,0.0,0.0,36,1,0,0.13724567
5894,3793,0,0.0,0.0,25,1,0,0.10226297
4320,5656,0,0.0,0.0,15,1,0,0.07756196
3136,2241,0,0.0,0.0,18,1,0,0.0843346
6373,1585,0,0.0,0.0,16,1,0,0.07976234
390,609,0,0.0,0.0,20,1,0,0.08914354
6584,6238,0,0.0,0.0,126,1,0,0.38310167
6244,6904,0,0.0,0.0,123,1,0,0.37773126
127,1312,0,0.0,0.0,85,1,0,0.28629526
6260,3904,0,0.0,0.0,54,1,0,0.20442998
252,3140,0,0.0,0.0,27,1,0,0.107973665
6925,6228,0,0.0,0.0,72,1,0,0.25095627
949,6890,0,0.0,0.0,80,1,0,0.27382088
3484,555,0,0.0,0.0,176,1,0,0.45846394
1839,6744,0,0.0,0.0,3,1,0,0.05518617
2265,1641,0,0.0,0.0,81,1,0,0.2762886
1229,4055,0,0.0,0.0,171,1,0,0.45247507
2193,4731,0,0.0,0.0,15,1,0,0.07756196
6244,6316,0,0.0,0.0,123,1,0,0.37773126
2300,3469,0,0.0,0.0,112,1,0,0.3555436
1401,1346,2,0.08695652173913043,0.32048798074468404,150,1,0,0.37932828
6225,4547,0,0.0,0.0,80,1,0,0.27382088
1085,599,0,0.0,0.0,39,1,0,0.14839143
4540,6306,0,0.0,0.0,8,1,0,0.06365717
5104,6435,0,0.0,0.0,192,1,0,0.4777005
6876,4846,0,0.0,0.0,90,1,0,0.2991036
4937,3736,0,0.0,0.0,21,1,0,0.09163984
301,6289,0,0.0,0.0,40,1,0,0.15226923
3202,948,0,0.0,0.0,98,1,0,0.32026172
1811,4880,0,0.0,0.0,14,1,0,0.075417444
546,5756,0,0.0,0.0,50,1,0,0.19341487
5857,2885,0,0.0,0.0,210,1,0,0.49941823
1414,1075,0,0.0,0.0,113,1,0,0.35774276
2722,3073,0,0.0,0.0,120,1,0,0.37239057
3084,5834,0,0.0,0.0,165,1,0,0.44530672
5304,6897,0,0.0,0.0,210,1,0,0.49941823
2691,6193,0,0.0,0.0,136,1,0,0.40120384
1628,5334,0,0.0,0.0,66,1,0,0.23470043
3831,6896,0,0.0,0.0,36,1,0,0.13724567
3,5550,0,0.0,0.0,84,1,0,0.28377318
5304,3640,0,0.0,0.0,84,1,0,0.28377318
948,5376,0,0.0,0.0,56,1,0,0.2092662
451,3077,0,0.0,0.0,119,1,0,0.37061724
196,5772,0,0.0,0.0,42,1,0,0.16027392
2212,5208,0,0.0,0.0,108,1,0,0.34680948
346,4175,0,0.0,0.0,6,1,0,0.06013226
3829,1380,0,0.0,0.0,84,1,0,0.28377318
224,5107,0,0.0,0.0,6,1,0,0.06013226
3542,838,0,0.0,0.0,14,1,0,0.075417444
1604,2193,0,0.0,0.0,150,1,0,0.42646953
2201,3024,0,0.0,0.0,204,1,0,0.49217466
6169,3327,0,0.0,0.0,45,1,0,0.17291498
5445,4909,0,0.0,0.0,156,1,0,0.43459767
3676,2791,0,0.0,0.0,10,1,0,0.06737377
1168,5652,0,0.0,0.0,160,1,0,0.43935037
7029,6804,0,0.0,0.0,84,1,0,0.28377318
6955,1247,0,0.0,0.0,132,1,0,0.3939276
856,1596,0,0.0,0.0,45,1,0,0.17291498
6014,2445,0,0.0,0.0,62,1,0,0.2242767
4087,5227,0,0.0,0.0,78,1,0,0.26794368
3713,7041,0,0.0,0.0,60,1,0,0.21918955
6536,3128,0,0.0,0.0,42,1,0,0.16027392
4528,6097,0,0.0,0.0,18,1,0,0.0843346
2586,6257,0,0.0,0.0,207,1,0,0.4957962
1808,3115,0,0.0,0.0,75,1,0,0.25935948
4312,1640,0,0.0,0.0,40,1,0,0.15226923
672,5527,0,0.0,0.0,76,1,0,0.26220104
93,3214,0,0.0,0.0,154,1,0,0.4321967
7075,1114,0,0.0,0.0,60,1,0,0.21918955
