from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
1391,5347,0,0.0,0.0,50,4690,0.2519936204146328,804,1,0,1,0,0.19837277
2590,5042,0,0.0,0.0,84,1510,0.7560975609754875,295,1,1,1,0,0.4325322
2809,1623,1,0.0666666666666666,0.1844836349427226,48,2862,0.7298980747451179,257,1,1,1,0,0.22135437
2354,3044,0,0.0,0.0,54,968,0.2519319938174251,196,1,1,1,0,0.31188807
5897,2667,0,0.0,0.0,9,7681,0.6844159579275778,793,1,0,1,0,0.03863935
1621,2656,0,0.0,0.0,36,22449,0.1027219313321834,33,1,1,1,0,0.18589912
3988,6642,0,0.0,0.0,56,31754,0.0793006465829661,1396,1,1,1,0,0.23063652
358,2798,0,0.0,0.0,105,239660,0.0058736663956594,1798,1,0,1,0,0.34392217
351,6985,0,0.0,0.0,55,7652,0.0477849676455888,179,1,1,1,0,0.24883033
2126,6157,0,0.0,0.0,36,4905,0.2700892857142455,1467,1,1,1,0,0.10811084
4557,5466,0,0.0,0.0,217,9826,0.4486280231187672,736,1,1,1,0,0.48564234
5580,3851,0,0.0,0.0,188,506016,0.0003081956331049,1549,0,0,1,0,0.49422246
2455,4924,0,0.0,0.0,4,2334,0.1915483200553545,499,1,1,1,0,0.090499096
559,6855,0,0.0,0.0,30,104455,0.1692844815931146,1138,1,0,1,0,0.103977256
3757,2715,0,0.0,0.0,66,1809,0.7083198968073672,144,1,1,1,0,0.4173093
4634,3813,0,0.0,0.0,180,2778,0.7874033825667109,216,1,0,1,0,0.43000016
331,2399,0,0.0,0.0,56,30580,0.0396030275431035,1006,1,1,1,0,0.3055535
5402,3386,0,0.0,0.0,114,353530,0.0096727295137303,1761,0,0,1,0,0.43111756
5540,1614,0,0.0,0.0,12,19481,0.134254732912624,1441,1,0,1,0,0.10411551
4819,2849,0,0.0,0.0,368,1170,0.7929203539821604,1361,1,0,1,0,0.49320105
6368,5350,0,0.0,0.0,255,22036,0.1526244952893615,151,1,0,1,0,0.48605254
4641,2622,0,0.0,0.0,40,920,0.8723463299568651,496,1,0,1,0,0.08397999
3338,5647,1,0.0476190476190476,0.1900168856810646,85,139755,0.1340273259596608,360,1,0,1,0,0.4113192
749,3771,1,0.05,0.152948702070391,110,22052,0.3963978759511579,1058,1,1,1,0,0.22279133
559,2792,0,0.0,0.0,90,10702,0.4972282251244716,1491,1,0,1,0,0.32656068
6873,5177,0,0.0,0.0,51,5321,0.1110925492816386,558,1,1,1,0,0.2866264
2654,6325,0,0.0,0.0,295,10243,0.0570744729816756,1726,1,0,1,0,0.4012343
5434,5035,0,0.0,0.0,24,456,0.890226287915048,979,1,1,1,0,0.061233677
1367,1715,0,0.0,0.0,60,238440,0.0298246327867517,1375,0,0,1,0,0.3170167
2124,902,0,0.0,0.0,8,2065,0.0100671140939549,452,1,0,1,0,0.09109957
5768,3256,0,0.0,0.0,48,311403,0.000651463707374,1227,0,0,1,0,0.2984524
1414,6342,0,0.0,0.0,113,2487644,0.0003516147556036,2576,0,0,1,0,0.48060122
65,3612,0,0.0,0.0,88,30643,0.055889330498812,955,1,1,1,0,0.3818918
758,4716,0,0.0,0.0,9,843,0.5618503118500199,1693,1,0,1,0,0.05359264
4716,4099,0,0.0,0.0,12,1372,0.4406848756622745,726,1,0,1,0,0.07435353
858,7014,0,0.0,0.0,64,112625,0.0612940597937967,103,1,1,1,0,0.3244515
3079,5601,0,0.0,0.0,12,2731,0.378470641784165,370,1,1,1,0,0.07444547
5519,2256,0,0.0,0.0,19,2802,0.0952534711010348,1947,1,0,1,0,0.09870759
3700,2618,0,0.0,0.0,85,59551,0.1923755017901677,812,1,0,1,0,0.34638184
2722,2908,0,0.0,0.0,60,802209,0.001568199893213,151,0,0,1,0,0.4954867
6474,5176,0,0.0,0.0,43,472823,0.0026935245728749,1262,0,0,1,0,0.2922693
502,5490,0,0.0,0.0,190,381417,0.1774860314715094,533,0,0,1,0,0.47230726
6868,3028,0,0.0,0.0,8,9041,0.0358323557640998,176,1,0,1,0,0.06900162
3022,363,0,0.0,0.0,198,63888,0.4988704819277069,305,1,0,1,0,0.43088356
4943,1372,0,0.0,0.0,17,506269,0.0036212702392596,61,0,1,1,0,0.26682535
100,6071,0,0.0,0.0,48,7011,0.2194388777554865,381,1,1,1,0,0.27137524
4457,6193,0,0.0,0.0,85,23106,0.1828405715094008,446,1,0,1,0,0.36480665
6047,777,0,0.0,0.0,33,19219,0.1508792082707364,452,1,1,1,0,0.20189613
1914,6975,0,0.0,0.0,12,458,0.9601496563124544,1021,1,0,1,0,0.035913568
2935,3436,0,0.0,0.0,546,12892,0.0401310401310371,2202,1,0,1,0,0.45491198
3966,2051,0,0.0,0.0,6,98570,0.0028325746079918,1493,1,1,1,0,0.08025826
745,5921,0,0.0,0.0,168,36351,0.0411237140596138,234,1,0,1,0,0.4806541
5530,4414,0,0.0,0.0,150,3168,0.4672944341684097,258,1,0,1,0,0.40733638
5730,4466,0,0.0,0.0,328,36255,0.8290850119977522,1496,1,0,1,0,0.47269163
3525,5395,0,0.0,0.0,8,5812,0.1549869148007916,157,1,1,1,0,0.0885259
1317,4153,0,0.0,0.0,10,2535,0.6164901664144301,1659,1,1,1,0,0.06478323
4356,2163,0,0.0,0.0,140,21636,0.1309796361007297,322,1,0,1,0,0.4128556
4242,5601,0,0.0,0.0,172,6590,0.2015024839452076,228,1,0,1,0,0.42449337
2591,5689,0,0.0,0.0,108,38786,0.2802078500510294,202,1,1,1,0,0.42028648
148,4554,0,0.0,0.0,4,2800,0.0816661200393303,128,1,1,1,0,0.05876701
3863,1386,0,0.0,0.0,52,39995,0.1051571764179414,171,1,1,1,0,0.24667373
1789,175,0,0.0,0.0,34,15688,0.7717843530883481,718,1,0,1,0,0.07746687
2853,336,0,0.0,0.0,42,4212,0.1402327005511042,676,1,0,1,0,0.14464624
2361,5598,0,0.0,0.0,2,5231,0.3458797048892902,958,1,0,1,0,0.041500475
434,2214,0,0.0,0.0,63,3625,0.1038318912237073,1629,1,0,1,0,0.31240872
5999,2241,0,0.0,0.0,12,294,0.8391684901527138,1337,1,0,1,0,0.0345405
2274,689,0,0.0,0.0,88,168554,0.0017175617729975,469,1,0,1,0,0.41917294
7119,2954,0,0.0,0.0,195,19926,0.1050125763564451,46,1,0,1,0,0.4966684
70,404,0,0.0,0.0,18,576,0.873822562978998,1644,1,0,1,0,0.0523837
253,3420,0,0.0,0.0,66,25758,0.0280366778612117,261,1,0,1,0,0.34498402
115,3784,0,0.0,0.0,43,364627,0.0011806343101644,1035,1,1,1,0,0.2665754
1341,3362,0,0.0,0.0,12,9223,0.121619047619036,1261,1,1,1,0,0.07626661
1530,2584,0,0.0,0.0,10,680,0.6553471870245031,1277,1,0,1,0,0.033001665
2956,4584,0,0.0,0.0,24,10810,0.187950721153832,835,1,1,1,0,0.14261001
5442,1376,0,0.0,0.0,104,5928,0.2838849963759019,2476,1,0,1,0,0.2515989
5476,2681,0,0.0,0.0,21,7778,0.354522821576734,1002,1,1,1,0,0.10023512
2354,3294,0,0.0,0.0,243,1930,0.4013647642678656,1656,1,0,1,0,0.38465974
144,2847,0,0.0,0.0,40,16445,0.1006289308176045,311,0,0,1,0,0.16397756
4301,342,1,0.0588235294117647,0.1889178940402413,80,9720,0.910416397854409,49,1,1,1,0,0.3842669
4873,2618,0,0.0,0.0,136,62774,0.1486655093848303,150,1,1,1,0,0.42719135
2287,1369,0,0.0,0.0,10,185,0.9424034869237414,234,1,0,1,0,0.048894905
3302,4127,0,0.0,0.0,403,13450,0.1822216817656604,1342,1,0,1,0,0.48383287
728,3771,0,0.0,0.0,121,8977,0.7542836809547065,706,1,0,1,0,0.3760809
4390,4400,0,0.0,0.0,46,280457,0.0020531323612089,93,0,0,1,0,0.4014991
1115,4728,0,0.0,0.0,36,82672,0.0184153972192866,698,1,0,1,0,0.18256186
705,2816,0,0.0,0.0,20,3817,0.6164204602551887,965,1,0,1,0,0.05597249
2409,2567,0,0.0,0.0,60,15439,0.1198837076730065,1173,1,0,1,0,0.28950894
3219,6814,0,0.0,0.0,184,217876,0.1162185075062767,260,1,1,1,0,0.459264
2011,3790,0,0.0,0.0,126,134198,0.0158550894690523,1041,0,0,1,0,0.47222066
4239,6763,0,0.0,0.0,70,1441,0.2932810201077522,685,1,1,1,0,0.3588231
2962,4433,0,0.0,0.0,15,93,0.9735193621865108,1059,1,1,1,0,0.05390799
6530,2039,0,0.0,0.0,28,385122,0.0006798414049363,363,0,1,1,0,0.32750496
5566,4902,0,0.0,0.0,120,265296,0.233850845578042,1547,0,1,1,0,0.44514585
6731,1294,0,0.0,0.0,140,15489,0.2512689128438028,724,1,0,1,0,0.384115
546,4402,0,0.0,0.0,100,109458,0.063364794674105,1194,1,1,1,0,0.39020425
1793,5193,0,0.0,0.0,240,508421,0.4719991442668469,1141,1,1,1,0,0.4858869
2101,1698,0,0.0,0.0,34,190461,0.0316986618944969,1115,0,1,1,0,0.21014507
2680,2515,0,0.0,0.0,80,8712,0.5765940902021492,75,1,1,1,0,0.44922516
6101,5940,0,0.0,0.0,63,4875,0.2256988564167367,1146,1,1,1,0,0.2946799
4144,6257,0,0.0,0.0,36,26730,0.2338559431339323,356,1,1,1,0,0.19609639
5566,4372,0,0.0,0.0,24,341653,0.0133392246557619,174,0,1,1,0,0.28013378
3721,3905,0,0.0,0.0,90,233237,0.048497705252422,307,1,0,1,0,0.39971516
3651,5260,0,0.0,0.0,60,20922,0.0851370851370814,306,1,1,1,0,0.28801203
4640,4985,0,0.0,0.0,63,22139,0.1735787076785183,753,1,0,1,0,0.2853964
5898,3662,0,0.0,0.0,75,2021,0.3054982817868366,207,1,0,1,0,0.3622824
3219,7030,0,0.0,0.0,253,229901,0.0674408888275926,844,1,0,1,0,0.46791333
2323,903,0,0.0,0.0,25,271613,0.0073132222766378,264,0,1,1,0,0.2963857
3023,6384,0,0.0,0.0,32,15962,0.4676494130202618,1699,1,1,1,0,0.10124889
