from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
1781,3581,0,0.0,0.0,351,7858,0.2579792256845837,911,1,1,0,1,0.57687396
706,2930,1,0.05,0.203252820503909,38,18079,0.0360437216742182,64,1,0,0,1,0.52029234
2323,6116,0,0.0,0.0,425,271078,0.0092685315809863,1122,0,0,0,1,0.72332907
1513,4418,0,0.0,0.0,90,611412,0.0021314862628484,446,0,1,0,1,0.5230279
863,6926,0,0.0,0.0,250,10465,0.5390883065403859,1037,1,1,0,1,0.5346343
2129,2636,0,0.0,0.0,328,3079,0.9055608379596692,1521,1,1,0,1,0.53398013
70,4482,0,0.0,0.0,150,855137,0.0053099795045259,344,0,1,0,1,0.6221419
368,652,1,0.0138888888888888,0.152948702070391,340,3932948,0.0003136611371817,578,0,0,0,1,0.87512285
965,5512,1,0.0526315789473684,0.2250908167817785,75,1792,0.8540241120885587,1140,1,1,0,1,0.5594523
2212,4945,0,0.0,0.0,828,1136429,0.0175350476177302,27,0,1,0,1,0.8457984
713,3754,1,0.037037037037037,0.2330752717085092,160,33887,0.3966849451644994,957,1,1,0,1,0.74162346
2928,3940,0,0.0,0.0,186,516814,0.0003210955936399,1201,0,1,0,1,0.58309054
217,2444,0,0.0,0.0,234,385281,0.0197060754250354,211,0,1,0,1,0.67360634
736,3117,2,0.0625,0.4781592975975622,288,2415,0.2903320599470201,713,1,1,0,1,0.9427755
5446,5619,1,0.0256410256410256,0.152948702070391,300,17792,0.5994957680532911,457,1,0,0,1,0.68762547
1170,6420,0,0.0,0.0,184,63913,0.2855529969371069,471,0,1,0,1,0.5987325
4985,6136,0,0.0,0.0,2646,178495894,2.605034077655248e-05,951,0,0,0,1,0.99099594
2809,5273,2,0.0714285714285714,0.3157611263467897,216,10338,0.5061622241329652,751,1,1,0,1,0.7458942
1185,2213,0,0.0,0.0,162,1295056,0.0008031806261414,514,0,1,0,1,0.63589495
2923,3448,0,0.0,0.0,258,328173,0.1086058393565785,1721,0,0,0,1,0.5388705
2061,5204,0,0.0,0.0,1242,303960,0.7234995374375398,370,1,1,0,1,0.82984996
1120,6564,0,0.0,0.0,405,1386,0.7667452036350106,1554,1,1,0,1,0.56159157
3198,6969,0,0.0,0.0,248,3069,0.5563746747614113,213,1,1,0,1,0.5608116
1425,6659,0,0.0,0.0,297,12631,0.6099857963317294,462,1,1,0,1,0.56046
3762,4245,0,0.0,0.0,216,31013,0.4965340346434115,291,1,1,0,1,0.53057724
2354,6986,0,0.0,0.0,648,1445282,0.0008945261085487,94,0,0,0,1,0.8533159
4487,4791,1,0.0384615384615384,0.2462785458144944,92,132271,0.0718541024903335,1903,0,0,0,1,0.7663499
4174,6869,0,0.0,0.0,160,10086,0.520216915612191,132,1,1,0,1,0.5084839
1742,2269,1,0.1,0.3459762562611936,30,1377,0.4056970220110463,1120,1,0,0,1,0.8569069
2858,6116,0,0.0,0.0,612,2261178,0.0011202828625877,624,0,1,0,1,0.8487658
6358,6863,0,0.0,0.0,552,8500,0.449660084169605,547,1,0,0,1,0.609086
1842,5467,0,0.0,0.0,352,24958,0.1514924865710154,721,1,0,0,1,0.5144968
3692,4382,0,0.0,0.0,407,786147,0.0078586627022087,1593,0,1,0,1,0.679588
1236,2811,0,0.0,0.0,130,2039574,0.0048839179072436,166,0,1,0,1,0.59856087
739,1205,0,0.0,0.0,370,26848,0.0044866328006227,576,1,0,0,1,0.58175343
2525,2845,0,0.0,0.0,1060,833308,0.1350360493335075,890,0,1,0,1,0.7982541
2590,6413,0,0.0,0.0,273,28875,0.176552786174637,445,1,1,0,1,0.54489076
35,6925,0,0.0,0.0,468,49478802,7.600657225455359e-05,2840,0,0,0,1,0.81213176
5087,5366,0,0.0,0.0,114,1172224,0.0008242477141403,515,0,0,0,1,0.576666
1334,4116,1,0.0147058823529411,0.152948702070391,684,17722,0.0555318695374091,1851,1,1,0,1,0.71155274
900,3189,0,0.0,0.0,160,14172,0.406284038542086,45,1,1,0,1,0.507908
4032,5676,0,0.0,0.0,540,230499,0.4792971723793613,489,0,1,0,1,0.69764423
2210,2954,1,0.037037037037037,0.2275598066567093,195,10597,0.6775204649888721,350,1,1,0,1,0.74114776
3706,5952,0,0.0,0.0,1990,74189412,0.000164551658992,119,0,1,0,1,0.982229
1942,3432,0,0.0,0.0,160,346311,0.045433496695094,589,0,1,0,1,0.59196985
1481,4301,0,0.0,0.0,448,2175,0.9803482204974748,427,1,0,0,1,0.5521419
2882,6145,0,0.0,0.0,264,1787,0.8218522580001174,1250,1,1,0,1,0.517065
2495,5417,0,0.0,0.0,644,77676,0.0708945851225426,517,1,0,0,1,0.6682974
1482,6488,0,0.0,0.0,330,755916,0.0030755109146347,83,0,1,0,1,0.71619135
1108,4141,0,0.0,0.0,540,14748,0.0981471289671559,632,1,1,0,1,0.67504025
512,5315,1,0.0123456790123456,0.2506903984389969,592,19596,0.2506882838788524,565,1,1,0,1,0.8485419
211,5900,0,0.0,0.0,585,102341,0.3581543826200369,489,0,1,0,1,0.71141845
3978,5448,0,0.0,0.0,270,5303680,0.0092905165598937,896,0,1,0,1,0.7615792
831,6354,1,0.0294117647058823,0.3459762562611936,196,2038,0.1752326993119485,2149,1,1,0,1,0.8419541
1901,2887,2,0.0141843971631205,0.4586494463731769,1206,741072,0.0033715314714374,329,0,1,0,1,0.9642735
4994,5900,0,0.0,0.0,153,135583,0.149672620540865,169,0,1,0,1,0.5799696
1604,4191,0,0.0,0.0,2220,620553,0.2331173557722605,1491,0,1,0,1,0.8018384
1718,4768,1,0.05,0.199575491191355,108,38396,0.0462516766853781,416,1,1,0,1,0.60347074
2858,2925,0,0.0,0.0,216,2258601,0.0022586775537899,827,0,0,0,1,0.6661874
2325,4242,0,0.0,0.0,602,7327,0.1122016236519917,964,1,1,0,1,0.6822183
1084,5301,0,0.0,0.0,336,334551,0.0248856710649422,1861,0,1,0,1,0.62059814
2960,3615,1,0.025,0.1783866051947039,378,34676,0.0038780845135157,322,1,0,0,1,0.8256967
403,2270,0,0.0,0.0,253,33542,0.0576501657582722,1350,1,1,0,1,0.52632976
3251,6059,0,0.0,0.0,224,323471,0.0665587413717476,952,1,1,0,1,0.5107065
4483,5624,0,0.0,0.0,189,81264,0.0411327433628313,513,0,0,0,1,0.5895903
1600,6315,1,0.0169491525423728,0.1783866051947039,731,232925,0.0285887063141211,801,1,0,0,1,0.8433178
5268,6647,0,0.0,0.0,22,10461474,0.0005915358781986,924,0,0,0,1,0.6375159
5100,6225,0,0.0,0.0,500,11076,0.3789391050801626,1361,0,0,0,1,0.6426854
4063,4087,0,0.0,0.0,156,1559771,0.0020186496353634,640,0,1,0,1,0.61504096
2922,3936,0,0.0,0.0,897,962591,0.008945927024133,1858,0,0,0,1,0.7813451
1600,5792,1,0.0357142857142857,0.2081589549022312,204,6047,0.1178701677607413,453,1,1,0,1,0.7493725
5458,6234,0,0.0,0.0,182,61794,0.6452759137328252,738,0,1,0,1,0.55854136
567,4281,0,0.0,0.0,195,176574,0.0162679532463479,970,0,1,0,1,0.5929019
2262,2914,0,0.0,0.0,202,4924288,0.0017460313920753,639,0,1,0,1,0.7160316
736,5010,1,0.0212765957446808,0.2749075777424936,540,107180,0.0091339397973521,579,1,1,0,1,0.8866424
3797,7116,0,0.0,0.0,300,37492,0.1128673512848395,848,1,0,0,1,0.50089204
1961,3884,0,0.0,0.0,264,19637,0.1995026700908972,590,1,1,0,1,0.5345148
6459,6793,0,0.0,0.0,429,143322,0.1038286218086995,356,1,1,0,1,0.6417989
2758,4611,1,0.0178571428571428,0.3001016285004131,350,506977,0.0149665811766534,997,0,1,0,1,0.92514133
130,492,1,0.0666666666666666,0.2885390081777926,63,36889,0.002109989991073,1135,1,0,0,1,0.8012544
3031,6973,0,0.0,0.0,176,129354,0.0080062577646895,176,0,1,0,1,0.63205063
4963,5682,0,0.0,0.0,117,58094,0.3337538419193502,102,0,1,0,1,0.5760438
1807,7029,0,0.0,0.0,224,198747,0.0559593023255811,479,0,1,0,1,0.6494184
3621,3847,2,0.0333333333333333,0.4958210604437063,925,5821,0.6473830869880878,932,1,1,0,1,0.9446091
1599,4140,1,0.0093457943925233,0.3606737602222408,1547,9281504,0.0021869850149115,1939,0,1,0,1,0.95074224
3797,5449,0,0.0,0.0,300,39466,0.0661587241493524,291,1,1,0,1,0.5615639
581,849,0,0.0,0.0,756,19380644,0.0001223751762883,1175,0,0,0,1,0.90400726
3892,6564,1,0.027027027027027,0.2518706487516997,297,5370,0.0962638842140531,974,1,0,0,1,0.8138415
640,7056,0,0.0,0.0,184,1556564,0.0159601974952743,128,0,0,0,1,0.6705533
596,5683,0,0.0,0.0,442,96809,0.2065811580543358,266,1,1,0,1,0.6502526
2692,3967,0,0.0,0.0,324,63077,0.0782124537842131,1109,1,1,0,1,0.56676143
1335,4689,0,0.0,0.0,299,74548,0.3575718926930967,311,1,1,0,1,0.57124645
2391,4466,0,0.0,0.0,96,173745,0.0120715536652488,408,0,1,0,1,0.52491134
3076,5448,0,0.0,0.0,405,5352534,0.0001647546164916,294,0,1,0,1,0.81724566
2329,6054,0,0.0,0.0,340,14535,0.1707080504364597,1015,1,1,0,1,0.55665
1094,6317,1,0.0588235294117647,0.2275598066567093,72,5704,0.2037967615856778,144,1,0,0,1,0.61394215
1981,3001,1,0.0666666666666666,0.269282508064391,60,51004,0.008649342066901,396,1,0,0,1,0.76639557
2458,7021,1,0.024390243902439,0.2081589549022312,272,11742,0.1833356516900693,190,1,1,0,1,0.7465801
3746,5204,0,0.0,0.0,299,1093723,0.0050831839215654,2215,0,0,0,1,0.6193609
