from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
2323,6116,0,0.0,0.0,425,271078,0.0092685315809863,1122,0,0,0,1,0.5716875353373679
1513,4418,0,0.0,0.0,90,611412,0.0021314862628484,446,0,1,0,1,0.5119807998676333
70,4482,0,0.0,0.0,150,855137,0.0053099795045259,344,0,1,0,1,0.5487145063146931
368,652,1,0.0138888888888888,0.152948702070391,340,3932948,0.0003136611371817,578,0,0,0,1,0.7476594497712762
2762,4184,2,0.1176470588235294,0.3434047367102351,84,14889,0.0464326886127804,1588,1,1,0,1,0.5006714076039213
2212,4945,0,0.0,0.0,828,1136429,0.0175350476177302,27,0,1,0,1,0.8250831640921037
713,3754,1,0.037037037037037,0.2330752717085092,160,33887,0.3966849451644994,957,1,1,0,1,0.5259593159306524
217,2444,0,0.0,0.0,234,385281,0.0197060754250354,211,0,1,0,1,0.5941154272461333
736,3117,2,0.0625,0.4781592975975622,288,2415,0.2903320599470201,713,1,1,0,1,0.8757485758260993
1170,6420,0,0.0,0.0,184,63913,0.2855529969371069,471,0,1,0,1,0.5294999980253791
4985,6136,0,0.0,0.0,2646,178495894,2.605034077655248e-05,951,0,0,0,1,0.9995504439124092
2809,5273,2,0.0714285714285714,0.3157611263467897,216,10338,0.5061622241329652,751,1,1,0,1,0.5648643968807058
1185,2213,0,0.0,0.0,162,1295056,0.0008031806261414,514,0,1,0,1,0.5427437310803644
2061,5204,0,0.0,0.0,1242,303960,0.7234995374375398,370,1,1,0,1,0.6977341579382432
2354,6986,0,0.0,0.0,648,1445282,0.0008945261085487,94,0,0,0,1,0.7427665028749793
4487,4791,1,0.0384615384615384,0.2462785458144944,92,132271,0.0718541024903335,1903,0,0,0,1,0.7056528737073411
1742,2269,1,0.1,0.3459762562611936,30,1377,0.4056970220110463,1120,1,0,0,1,0.6225549242985713
2858,6116,0,0.0,0.0,612,2261178,0.0011202828625877,624,0,1,0,1,0.7276964652428947
3692,4382,0,0.0,0.0,407,786147,0.0078586627022087,1593,0,1,0,1,0.564339959743353
1236,2811,0,0.0,0.0,130,2039574,0.0048839179072436,166,0,1,0,1,0.5593792598130645
2525,2845,0,0.0,0.0,1060,833308,0.1350360493335075,890,0,1,0,1,0.8396908721401372
35,6925,0,0.0,0.0,468,49478802,7.600657225455359e-05,2840,0,0,0,1,0.670310901483643
