from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,views_diff,views_ratio,age_diff,same_partner,same_mature,link,prediction,probability
1391,5347,0,0.0,0.0,50,4690,0.2519936204146328,804,1,0,1,0,0.3550903
2590,5042,0,0.0,0.0,84,1510,0.7560975609754875,295,1,1,1,0,0.41426542
2809,1623,1,0.0666666666666666,0.1844836349427226,48,2862,0.7298980747451179,257,1,1,1,0,0.2617287
2354,3044,0,0.0,0.0,54,968,0.2519319938174251,196,1,1,1,0,0.40586564
5897,2667,0,0.0,0.0,9,7681,0.6844159579275778,793,1,0,1,0,0.078906305
1621,2656,0,0.0,0.0,36,22449,0.1027219313321834,33,1,1,1,0,0.28272197
3988,6642,0,0.0,0.0,56,31754,0.0793006465829661,1396,1,1,1,0,0.39977217
358,2798,0,0.0,0.0,105,239660,0.0058736663956594,1798,1,0,1,0,0.44039422
351,6985,0,0.0,0.0,55,7652,0.0477849676455888,179,1,1,1,0,0.40165222
2126,6157,0,0.0,0.0,36,4905,0.2700892857142455,1467,1,1,1,0,0.2126998
2455,4924,0,0.0,0.0,4,2334,0.1915483200553545,499,1,1,1,0,0.15121
559,6855,0,0.0,0.0,30,104455,0.1692844815931146,1138,1,0,1,0,0.1867574
3757,2715,0,0.0,0.0,66,1809,0.7083198968073672,144,1,1,1,0,0.40767133
4634,3813,0,0.0,0.0,180,2778,0.7874033825667109,216,1,0,1,0,0.43344086
331,2399,0,0.0,0.0,56,30580,0.0396030275431035,1006,1,1,1,0,0.39999795
5402,3386,0,0.0,0.0,114,353530,0.0096727295137303,1761,0,0,1,0,0.47234562
5540,1614,0,0.0,0.0,12,19481,0.134254732912624,1441,1,0,1,0,0.18703973
4641,2622,0,0.0,0.0,40,920,0.8723463299568651,496,1,0,1,0,0.18969387
3338,5647,1,0.0476190476190476,0.1900168856810646,85,139755,0.1340273259596608,360,1,0,1,0,0.46669245
749,3771,1,0.05,0.152948702070391,110,22052,0.3963978759511579,1058,1,1,1,0,0.2522696
559,2792,0,0.0,0.0,90,10702,0.4972282251244716,1491,1,0,1,0,0.42003286
6873,5177,0,0.0,0.0,51,5321,0.1110925492816386,558,1,1,1,0,0.3803109
2654,6325,0,0.0,0.0,295,10243,0.0570744729816756,1726,1,0,1,0,0.47645003
5434,5035,0,0.0,0.0,24,456,0.890226287915048,979,1,1,1,0,0.17938045
1367,1715,0,0.0,0.0,60,238440,0.0298246327867517,1375,0,0,1,0,0.40148753
2124,902,0,0.0,0.0,8,2065,0.0100671140939549,452,1,0,1,0,0.19090231
5768,3256,0,0.0,0.0,48,311403,0.000651463707374,1227,0,0,1,0,0.39189366
65,3612,0,0.0,0.0,88,30643,0.055889330498812,955,1,1,1,0,0.42130736
758,4716,0,0.0,0.0,9,843,0.5618503118500199,1693,1,0,1,0,0.06889759
4716,4099,0,0.0,0.0,12,1372,0.4406848756622745,726,1,0,1,0,0.11842821
858,7014,0,0.0,0.0,64,112625,0.0612940597937967,103,1,1,1,0,0.4171672
3079,5601,0,0.0,0.0,12,2731,0.378470641784165,370,1,1,1,0,0.13440202
5519,2256,0,0.0,0.0,19,2802,0.0952534711010348,1947,1,0,1,0,0.15074158
3700,2618,0,0.0,0.0,85,59551,0.1923755017901677,812,1,0,1,0,0.39880875
2722,2908,0,0.0,0.0,60,802209,0.001568199893213,151,0,0,1,0,0.4939794
6474,5176,0,0.0,0.0,43,472823,0.0026935245728749,1262,0,0,1,0,0.3885779
6868,3028,0,0.0,0.0,8,9041,0.0358323557640998,176,1,0,1,0,0.16334389
3022,363,0,0.0,0.0,198,63888,0.4988704819277069,305,1,0,1,0,0.46589017
4943,1372,0,0.0,0.0,17,506269,0.0036212702392596,61,0,1,1,0,0.32300076
100,6071,0,0.0,0.0,48,7011,0.2194388777554865,381,1,1,1,0,0.39609143
4457,6193,0,0.0,0.0,85,23106,0.1828405715094008,446,1,0,1,0,0.4033582
6047,777,0,0.0,0.0,33,19219,0.1508792082707364,452,1,1,1,0,0.30246878
1914,6975,0,0.0,0.0,12,458,0.9601496563124544,1021,1,0,1,0,0.067238785
3966,2051,0,0.0,0.0,6,98570,0.0028325746079918,1493,1,1,1,0,0.15300882
745,5921,0,0.0,0.0,168,36351,0.0411237140596138,234,1,0,1,0,0.48217
5530,4414,0,0.0,0.0,150,3168,0.4672944341684097,258,1,0,1,0,0.44507736
3525,5395,0,0.0,0.0,8,5812,0.1549869148007916,157,1,1,1,0,0.15574445
1317,4153,0,0.0,0.0,10,2535,0.6164901664144301,1659,1,1,1,0,0.13400903
4356,2163,0,0.0,0.0,140,21636,0.1309796361007297,322,1,0,1,0,0.43145683
